Open,High,Low,Close
126.97,127.20,126.58,126.58
126.58,126.58,125.67,126.00
126.00,126.46,125.93,126.29
126.35,127.04,126.25,127.03
127.03,127.39,126.72,127.05
127.06,127.51,126.79,127.25
127.25,127.50,127.00,127.34
127.34,127.40,126.88,127.09
127.09,128.11,127.09,127.93
127.93,128.06,127.46,128.04
128.04,128.95,127.91,128.92
128.88,129.29,128.68,128.92
128.94,129.19,128.88,129.10
129.09,129.12,128.37,128.99
128.99,129.02,128.50,128.73
128.72,129.01,128.61,128.61
128.61,128.73,128.40,128.57
128.57,128.71,128.10,128.34
128.34,128.65,128.34,128.60
128.60,128.60,127.71,127.90
127.92,128.54,127.88,128.00
128.00,128.11,127.23,127.43
127.43,127.68,127.20,127.58
127.58,127.95,127.26,127.94
127.94,128.40,127.74,127.99
128.00,129.12,128.00,128.48
128.51,128.68,128.07,128.41
128.45,128.71,127.72,128.39
128.34,128.59,128.05,128.58
128.58,128.87,128.09,128.09
128.09,128.80,127.80,128.62
128.62,128.90,128.51,128.60
128.60,128.89,128.39,128.86
128.86,128.94,128.57,128.71
128.71,129.06,128.54,128.70
128.70,130.15,128.70,130.07
130.08,130.48,130.01,130.42
130.40,130.85,130.17,130.85
130.84,131.06,130.72,130.99
130.99,131.24,130.73,130.85
130.85,131.40,130.70,130.95
130.95,131.10,130.66,130.75
130.75,131.14,130.61,130.95
130.95,130.95,130.49,130.49
130.49,130.72,130.35,130.38
130.38,130.74,130.29,130.58
130.58,131.09,130.50,131.06
131.06,131.46,130.91,131.11
131.12,131.61,131.03,131.60
131.60,131.73,131.36,131.55
131.55,131.65,131.16,131.41
131.42,131.89,131.42,131.67
131.69,131.71,131.24,131.26
131.24,131.39,130.80,130.95
130.95,131.15,130.72,130.97
130.97,131.75,130.97,131.69
131.69,131.88,131.32,131.66
131.66,132.05,131.65,131.86
131.86,132.04,131.13,131.32
131.32,131.62,131.18,131.51
131.51,132.02,131.49,131.64
131.64,131.89,131.34,131.68
131.68,131.78,131.51,131.52
131.52,131.74,131.08,131.12
131.12,131.42,131.06,131.35
131.35,131.75,131.35,131.70
131.70,131.86,131.54,131.56
131.53,131.85,131.46,131.72
131.72,131.96,131.66,131.71
131.71,131.96,131.46,131.60
131.60,132.40,131.60,132.28
132.28,132.38,132.16,132.32
132.32,132.62,132.23,132.56
132.56,132.80,132.45,132.79
132.79,132.89,132.60,132.68
132.69,132.70,132.36,132.49
132.49,132.51,132.07,132.09
132.09,132.27,131.92,132.01
132.01,132.01,131.16,131.28
131.26,131.28,130.38,130.51
130.51,130.77,130.15,130.17
130.17,130.89,130.15,130.50
130.51,131.00,130.50,130.87
130.89,131.03,130.71,130.80
130.80,130.87,130.55,130.81
130.84,131.14,130.75,131.04
131.04,131.19,130.82,130.85
130.88,130.88,129.71,129.83
129.83,130.28,129.83,130.24
130.24,130.50,130.04,130.47
130.47,130.60,130.32,130.52
130.52,131.06,130.52,130.98
130.98,131.06,130.79,130.97
130.97,131.38,130.91,131.37
131.37,131.49,131.22,131.40
131.40,131.67,131.26,131.65
131.65,131.65,131.40,131.44
131.44,131.46,131.26,131.44
131.44,131.64,131.38,131.39
131.39,131.56,131.31,131.54
131.54,131.67,131.45,131.54
131.54,131.55,131.10,131.16
131.16,131.38,131.13,131.16
131.16,131.38,131.08,131.13
131.13,131.27,131.08,131.23
131.23,131.85,131.06,131.82
131.82,131.88,131.61,131.71
131.71,131.71,131.31,131.34
131.34,131.60,131.34,131.57
131.57,131.79,131.44,131.77
131.71,131.80,131.52,131.78
131.78,131.78,131.43,131.57
131.57,131.67,131.17,131.20
131.20,131.30,130.80,131.00
131.00,131.51,130.95,131.43
131.43,131.77,131.43,131.67
131.62,131.64,131.35,131.64
131.64,132.15,131.59,132.11
132.10,132.26,132.08,132.18
132.20,132.31,132.12,132.21
132.21,132.34,132.17,132.19
132.19,132.39,132.12,132.28
132.29,132.36,132.25,132.31
132.31,132.35,131.90,132.10
132.10,132.20,131.99,132.03
132.03,132.18,131.93,132.01
132.01,132.03,131.80,131.83
131.90,131.95,131.64,131.77
131.77,131.85,131.61,131.68
131.68,132.03,131.67,132.03
132.03,132.21,131.80,131.95
131.95,131.98,131.75,131.80
131.80,132.25,131.80,132.11
132.11,132.33,132.11,132.27
132.27,132.33,132.16,132.27
132.26,132.35,132.13,132.31
132.31,132.48,132.28,132.38
132.38,132.39,132.06,132.38
132.37,132.52,132.24,132.42
132.39,132.50,132.35,132.47
132.47,132.73,132.46,132.56
132.56,132.84,132.56,132.64
132.63,132.80,132.63,132.77
132.77,133.04,132.70,132.72
132.72,132.77,132.56,132.69
132.69,132.87,132.58,132.76
132.76,133.03,132.61,133.03
133.02,133.06,132.78,132.82
132.82,132.97,132.68,132.91
132.91,133.22,132.91,133.14
133.14,133.21,133.00,133.01
133.01,133.09,132.82,132.94
132.96,133.01,132.79,132.95
132.95,132.99,132.56,132.62
132.59,132.81,132.59,132.71
132.73,132.90,132.68,132.90
132.91,133.01,132.85,133.00
133.00,133.09,132.86,132.88
132.85,132.87,132.66,132.74
132.74,132.91,132.70,132.73
132.73,133.18,132.71,133.10
133.10,133.10,132.88,133.05
133.06,133.28,132.98,133.26
133.26,133.30,133.01,133.02
133.02,133.02,132.79,132.95
132.96,133.16,132.94,133.15
133.15,133.18,132.85,133.00
133.00,133.10,132.97,133.07
133.07,133.22,133.02,133.22
133.22,133.25,133.09,133.14
133.14,133.50,133.10,133.45
133.43,133.55,133.36,133.49
133.49,133.56,133.36,133.52
133.53,133.79,133.52,133.72
133.72,134.00,133.72,133.91
133.93,133.98,133.75,133.80
133.78,133.78,133.61,133.62
133.62,133.90,133.62,133.90
133.90,133.98,133.79,133.88
133.88,133.96,133.80,133.83
133.83,133.94,133.76,133.91
133.90,133.90,133.73,133.86
133.86,133.86,133.63,133.71
133.70,133.79,133.66,133.79
133.79,133.80,133.52,133.52
133.52,133.74,133.51,133.74
133.74,134.03,133.74,134.03
134.00,134.03,133.84,134.03
134.03,134.10,133.96,133.99
133.99,134.16,133.99,134.09
134.09,134.42,134.09,134.34
134.34,134.52,134.28,134.43
134.43,134.50,134.33,134.38
134.38,134.71,134.38,134.65
134.65,134.66,134.45,134.59
134.59,134.59,134.46,134.54
134.54,134.72,134.38,134.72
134.72,134.87,134.69,134.85
134.83,134.94,134.76,134.79
134.79,134.98,134.76,134.96
134.96,135.07,134.90,134.91
134.90,134.97,134.68,134.97
134.97,135.20,134.97,135.15
135.15,135.18,134.68,134.72
134.72,134.87,134.63,134.71
134.71,134.72,134.29,134.44
134.43,134.56,134.14,134.19
134.18,134.25,134.09,134.11
134.10,134.10,133.46,133.51
133.51,133.61,133.18,133.27
133.27,133.78,133.27,133.78
133.77,134.01,133.74,133.98
133.98,134.06,133.71,133.82
133.82,133.96,133.76,133.87
133.87,134.10,133.87,134.06
134.06,134.06,133.90,134.04
134.04,134.10,133.90,134.09
134.09,134.29,134.05,134.10
134.09,134.25,134.08,134.15
134.15,134.19,133.68,133.83
133.83,133.99,133.40,133.42
133.42,133.42,133.03,133.29
133.32,133.37,133.20,133.25
133.25,133.45,133.18,133.40
133.40,133.52,133.25,133.51
133.51,133.84,133.48,133.75
133.75,133.78,133.54,133.68
133.68,133.79,133.56,133.63
133.61,133.61,133.15,133.21
133.21,133.44,133.21,133.29
133.29,133.46,133.19,133.30
133.27,133.31,132.58,132.62
132.62,132.71,132.29,132.66
132.66,132.66,132.29,132.32
132.36,132.42,132.15,132.20
132.20,132.52,132.15,132.52
132.52,132.71,132.39,132.56
132.59,132.61,132.30,132.53
132.53,132.53,132.26,132.49
132.49,133.00,132.44,132.96
132.96,133.04,132.71,132.88
