Open,High,Low,Close,Moving Average 200,Moving Average 50,Exp Moving Average 10,Exp Moving Average 20
311.53,311.75,311.10,311.36,297.62,307.87,311.72,310.98
311.36,311.36,310.48,310.50,297.74,308.06,311.50,310.93
310.50,310.92,310.39,310.53,297.87,308.21,311.32,310.89
310.54,311.68,310.54,311.51,298.01,308.37,311.36,310.95
311.50,311.69,311.25,311.52,298.16,308.53,311.39,311.01
311.53,311.62,310.14,310.15,298.30,308.64,311.16,310.92
310.14,310.59,309.08,310.09,298.45,308.76,310.97,310.85
310.10,311.34,309.94,311.31,298.60,308.88,311.03,310.89
317.41,318.65,317.16,317.65,298.78,309.14,312.23,311.53
317.64,318.68,317.50,318.05,298.97,309.41,313.29,312.15
318.05,319.19,317.92,319.15,299.16,309.69,314.36,312.82
319.17,320.67,319.07,320.61,299.37,310.00,315.49,313.56
320.61,321.28,320.06,320.32,299.56,310.29,316.37,314.21
320.32,320.45,319.22,319.88,299.78,310.57,317.01,314.75
319.88,320.35,319.83,320.13,299.99,310.85,317.58,315.26
320.13,320.66,319.68,320.65,300.19,311.16,318.14,315.77
320.64,320.74,320.00,320.07,300.40,311.44,318.49,316.18
320.07,320.61,319.81,320.20,300.60,311.73,318.80,316.56
320.20,320.56,319.30,319.70,300.79,312.01,318.96,316.86
319.70,320.14,318.94,320.09,300.98,312.28,319.17,317.17
