Date,Open,High,Low,Close,FW Moving Average 25
8/17/2017,246.26,246.60,243.09,243.09,246.35
8/18/2017,242.95,244.19,242.20,242.71,246.06
8/21/2017,242.64,243.20,241.83,242.90,245.79
8/22/2017,243.60,245.62,243.55,245.44,245.73
8/23/2017,244.34,245.05,244.16,244.56,245.60
8/24/2017,245.00,245.18,243.75,243.99,245.43
8/25/2017,244.89,245.61,244.39,244.56,245.31
8/28/2017,245.17,245.20,244.09,244.57,245.20
8/29/2017,243.13,245.15,242.93,244.85,245.12
8/30/2017,244.86,246.32,244.62,246.01,245.14
8/31/2017,246.75,247.77,246.05,247.49,245.28
9/1/2017,247.98,248.33,247.67,247.84,245.44
9/5/2017,247.27,247.52,244.95,246.06,245.46
9/6/2017,246.87,247.28,246.23,246.90,245.55
9/7/2017,247.27,247.27,246.40,246.87,245.64
9/8/2017,246.54,247.11,246.30,246.58,245.71
9/11/2017,248.04,249.30,248.02,249.21,245.98
9/12/2017,249.64,250.09,249.42,250.05,246.31
9/13/2017,249.73,250.21,249.59,250.17,246.64
9/14/2017,249.83,250.32,249.60,250.09,246.96
9/15/2017,248.70,249.29,248.57,249.19,247.20
9/18/2017,249.62,250.12,249.28,249.72,247.47
9/19/2017,250.00,250.07,249.60,249.97,247.73
9/20/2017,250.07,250.19,248.92,250.06,247.99
9/21/2017,249.87,249.98,249.19,249.39,248.19
9/22/2017,249.06,249.63,249.02,249.44,248.39
9/25/2017,249.16,249.55,248.08,248.93,248.53
9/26/2017,249.45,249.70,248.81,249.08,248.66
9/27/2017,249.89,250.49,248.87,250.05,248.84
9/28/2017,249.73,250.44,249.63,250.35,249.04
9/29/2017,250.37,251.32,250.13,251.23,249.28
10/2/2017,251.50,252.32,251.29,252.32,249.59
10/3/2017,252.48,252.89,252.23,252.86,249.91
10/4/2017,252.72,253.44,252.56,253.16,250.23
10/5/2017,253.54,254.68,253.20,254.66,250.64
10/6/2017,254.16,254.70,253.85,254.37,251.00
10/9/2017,254.65,254.70,253.65,253.95,251.31
10/10/2017,254.59,255.05,253.98,254.62,251.65
10/11/2017,254.53,255.02,254.32,255.02,252.00
10/12/2017,254.68,255.06,254.37,254.64,252.29
10/13/2017,255.15,255.27,254.64,254.95,252.58
10/16/2017,255.20,255.51,254.82,255.29,252.87
10/17/2017,255.24,255.52,254.98,255.47,253.16
10/18/2017,255.92,255.95,255.50,255.72,253.45
10/19/2017,254.83,255.83,254.35,255.79,253.73
10/20/2017,256.73,257.14,255.77,257.11,254.09
10/23/2017,257.51,257.51,256.02,256.11,254.35
10/24/2017,256.56,256.83,256.15,256.56,254.62
10/25/2017,256.23,256.31,254.00,255.29,254.78
10/26/2017,256.01,256.30,255.48,255.62,254.95
10/27/2017,256.47,257.89,255.63,257.71,255.25
10/30/2017,257.09,257.60,256.41,256.75,255.46
10/31/2017,257.21,257.44,256.81,257.15,255.68
11/1/2017,258.10,258.43,257.07,257.49,255.90
11/2/2017,257.43,257.75,256.19,257.59,256.10
11/3/2017,257.82,258.50,257.30,258.45,256.34
11/6/2017,258.31,259.00,258.22,258.85,256.60
11/7/2017,259.00,259.35,258.09,258.67,256.82
11/8/2017,258.46,259.22,258.15,259.11,257.05
11/9/2017,257.74,258.39,256.36,258.17,257.20
11/10/2017,257.71,258.29,257.37,258.09,257.33
11/13/2017,257.32,258.59,257.27,258.33,257.46
11/14/2017,257.44,257.85,256.52,257.73,257.54
11/15/2017,256.62,257.22,255.63,256.44,257.51
11/16/2017,257.52,259.04,257.47,258.62,257.64
11/17/2017,258.20,258.59,257.77,257.86,257.70
11/20/2017,258.15,258.52,257.86,258.30,257.78
11/21/2017,259.19,260.20,258.26,259.99,257.99
11/22/2017,260.07,260.15,259.57,259.76,258.16
11/24/2017,260.32,260.48,260.16,260.36,258.37
11/27/2017,260.38,260.75,260.00,260.23,258.55
11/28/2017,260.79,262.90,260.66,262.87,258.93
11/29/2017,263.05,263.63,262.20,262.71,259.27
11/30/2017,263.80,266.05,263.67,265.01,259.78
12/1/2017,264.80,265.31,260.76,264.46,260.20
12/4/2017,266.38,266.80,264.08,264.14,260.58
12/5/2017,264.40,265.15,263.04,263.19,260.87
12/6/2017,262.84,263.73,262.71,263.24,261.14
12/7/2017,263.08,264.43,262.94,264.07,261.45
12/8/2017,265.00,265.52,264.03,265.51,261.86
12/11/2017,265.60,266.38,265.48,266.31,262.30
12/12/2017,266.60,267.32,266.35,266.78,262.75
12/13/2017,267.05,267.56,266.65,266.75,263.18
12/14/2017,267.09,267.22,265.60,265.66,263.50
12/15/2017,265.54,267.04,265.39,266.51,263.86
12/18/2017,268.10,268.60,267.98,268.20,264.33
12/19/2017,268.51,268.53,267.09,267.17,264.69
12/20/2017,268.25,268.33,266.69,267.03,265.01
12/21/2017,267.73,268.39,267.30,267.58,265.34
12/22/2017,267.61,267.64,266.90,267.51,265.63
12/26/2017,267.02,267.44,266.89,267.19,265.87
12/27/2017,267.35,267.73,267.01,267.32,266.10
12/28/2017,267.87,267.92,267.45,267.87,266.33
12/29/2017,268.55,268.55,266.64,266.86,266.47
1/2/2018,267.86,268.81,267.40,268.77,266.73
1/3/2018,268.99,270.64,268.96,270.47,267.10
1/4/2018,271.22,272.16,270.54,271.61,267.52
1/5/2018,272.56,273.56,271.95,273.42,268.05
1/8/2018,273.32,274.10,272.98,273.92,268.59
1/9/2018,274.43,275.25,274.08,274.54,269.15
1/10/2018,273.71,274.42,272.92,274.12,269.65
1/11/2018,274.75,276.12,274.56,276.12,270.27
1/12/2018,276.43,278.11,276.08,277.92,270.99
1/16/2018,279.42,280.09,276.18,276.97,271.59
1/17/2018,278.07,280.05,276.97,279.61,272.35
1/18/2018,279.51,279.96,278.58,279.14,273.03
1/19/2018,279.70,280.41,279.14,280.41,273.78
1/22/2018,280.16,282.69,280.11,282.69,274.65
1/23/2018,282.76,283.62,282.37,283.29,275.52
1/24/2018,284.03,284.70,281.84,283.18,276.33
1/25/2018,284.16,284.27,282.41,283.30,277.10
1/26/2018,284.32,286.63,283.96,286.58,278.08
1/29/2018,285.99,286.43,284.50,284.68,278.84
1/30/2018,283.20,284.74,281.22,281.76,279.33
1/31/2018,282.75,283.30,280.68,281.90,279.79
2/1/2018,281.10,283.06,280.68,281.58,280.18
2/2/2018,280.00,280.23,275.41,275.45,280.05
2/5/2018,273.47,275.85,263.31,263.93,279.01
2/6/2018,259.73,269.70,258.70,269.13,278.38
2/7/2018,268.46,272.36,267.58,267.67,277.63
2/8/2018,268.00,268.17,257.59,257.63,276.12
2/9/2018,260.94,263.61,252.92,261.50,274.94
2/12/2018,263.89,267.01,261.66,265.34,274.09
2/13/2018,264.00,266.62,263.31,266.00,273.31
2/14/2018,264.40,270.00,264.30,269.59,272.83
2/15/2018,271.56,273.04,268.77,273.03,272.64
2/16/2018,272.27,275.32,272.27,273.11,272.45
2/20/2018,272.00,273.67,270.50,271.40,272.14
2/21/2018,271.85,274.72,269.94,270.05,271.75
2/22/2018,271.09,273.05,269.64,270.40,271.41
2/23/2018,271.84,274.71,271.25,274.71,271.42
2/26/2018,275.90,278.01,275.26,277.90,271.70
2/27/2018,278.11,278.92,274.36,274.43,271.71
2/28/2018,275.65,276.19,271.29,271.65,271.54
3/1/2018,271.50,273.17,266.00,267.70,271.10
3/2/2018,265.75,269.72,264.82,269.08,270.81
3/5/2018,267.75,272.89,267.61,272.19,270.80
3/6/2018,273.28,273.39,271.18,272.88,270.90
3/7/2018,270.39,273.18,270.20,272.78,271.02
3/8/2018,273.52,274.24,272.42,274.10,271.27
3/9/2018,275.69,278.87,275.34,278.87,271.91
3/12/2018,279.20,279.91,278.08,278.52,272.53
3/13/2018,279.84,280.41,276.03,276.72,273.01
3/14/2018,277.81,278.02,274.67,275.30,273.34
3/15/2018,275.85,276.61,274.43,275.00,273.62
3/16/2018,274.45,275.39,274.14,274.20,273.82
3/19/2018,273.34,274.40,268.62,270.49,273.68
3/20/2018,270.91,271.67,270.18,270.95,273.56
3/21/2018,270.88,273.27,270.19,270.43,273.37
3/22/2018,267.85,268.87,263.36,263.67,272.65
3/23/2018,264.17,265.02,257.83,258.05,271.52
3/26/2018,262.16,265.43,259.41,265.11,270.97
3/27/2018,266.17,266.77,258.84,260.60,270.11
3/28/2018,260.76,262.64,258.58,259.83,269.22
3/29/2018,261.12,265.26,259.84,263.15,268.61
4/2/2018,262.56,263.13,254.67,257.47,267.59
4/3/2018,258.92,261.31,256.84,260.77,266.88
4/4/2018,256.76,264.36,256.60,263.56,266.43
4/5/2018,265.55,266.64,264.32,265.64,266.18
4/6/2018,263.42,265.11,258.00,259.72,265.49
4/9/2018,261.37,264.84,259.94,261.00,264.92
4/10/2018,264.25,266.04,262.98,265.15,264.70
4/11/2018,263.42,265.64,263.39,263.76,264.39
4/12/2018,265.28,267.00,265.06,265.93,264.28
4/13/2018,267.45,267.54,264.01,265.15,264.13
4/16/2018,267.00,268.20,266.07,267.33,264.17
4/17/2018,269.33,270.87,268.75,270.19,264.47
4/18/2018,270.68,271.30,269.87,270.39,264.81
4/19/2018,269.59,269.88,267.72,268.89,265.06
4/20/2018,268.87,269.06,265.61,266.61,265.14
4/23/2018,267.28,267.89,265.35,266.57,265.26
4/24/2018,267.76,267.98,261.28,262.98,265.11
4/25/2018,262.94,264.13,260.85,263.63,265.05
4/26/2018,264.86,267.25,264.29,266.31,265.21
4/27/2018,267.00,267.34,265.50,266.56,265.40
4/30/2018,267.26,267.89,264.43,264.51,265.43
5/1/2018,263.87,265.10,262.11,264.98,265.47
5/2/2018,264.77,265.68,262.76,263.20,265.37
5/3/2018,262.28,263.36,259.05,262.62,265.23
5/4/2018,261.52,266.79,261.15,266.02,265.33
5/7/2018,266.91,268.02,266.11,266.92,265.50
5/8/2018,266.48,267.33,265.15,266.92,265.64
5/9/2018,267.67,269.87,267.09,269.50,265.95
5/10/2018,270.34,272.39,270.22,272.02,266.44
5/11/2018,272.25,273.15,271.58,272.85,266.98
5/14/2018,273.34,274.08,272.36,272.98,267.49
5/15/2018,271.52,271.61,270.03,271.10,267.81
5/16/2018,271.11,272.76,271.11,272.24,268.21
5/17/2018,271.93,273.23,271.13,272.01,268.56
5/18/2018,271.61,272.03,270.93,271.33,268.84
5/21/2018,272.99,273.98,271.35,273.37,269.25
5/22/2018,273.94,274.25,272.24,272.61,269.59
5/23/2018,271.19,273.39,270.99,273.36,269.98
5/24/2018,272.95,273.22,270.78,272.80,270.32
5/25/2018,272.15,272.86,271.58,272.15,270.60
5/29/2018,270.26,271.17,267.76,269.02,270.62
5/30/2018,270.50,273.11,270.42,272.61,270.90
5/31/2018,272.20,272.49,270.26,270.94,271.03
6/1/2018,272.49,273.94,272.33,273.60,271.34
6/4/2018,274.51,275.19,274.26,274.90,271.73
6/5/2018,275.02,275.53,274.18,275.10,272.11
6/6/2018,275.90,277.52,275.09,277.40,272.63
6/7/2018,277.98,278.28,276.34,277.37,273.11
6/8/2018,276.78,278.25,276.66,278.19,273.62
6/11/2018,278.42,279.37,278.31,278.56,274.10
6/12/2018,279.05,279.33,278.19,278.92,274.57
6/13/2018,279.21,279.48,277.80,278.03,274.94
6/14/2018,279.01,279.33,278.06,278.73,275.32
6/15/2018,276.65,277.51,275.35,277.13,275.56
6/18/2018,275.47,276.70,274.95,276.56,275.73
6/19/2018,273.98,275.75,273.53,275.50,275.81
6/20/2018,276.27,276.72,275.59,275.97,275.92
6/21/2018,275.98,275.98,273.68,274.24,275.88
6/22/2018,275.67,275.79,274.49,274.74,275.88
6/25/2018,273.45,273.62,269.10,271.00,275.58
6/26/2018,271.61,272.56,270.79,271.60,275.32
6/27/2018,272.27,273.87,269.18,269.35,274.90
6/28/2018,269.26,271.75,268.49,270.89,274.60
6/29/2018,272.08,273.66,271.15,271.28,274.35
7/2/2018,269.51,272.04,269.24,271.86,274.14
7/3/2018,272.88,272.98,270.42,270.90,273.86
